                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.00055,                0.06107,                0.31298,                 2.6578,             0.00011317,             0.00011317,             0.00011317
                     88,                0.00521,                0.06107,                0.31298,                 2.6342,              0.0001061,              0.0001061,              0.0001061
                     89,                0.00043,                0.05344,                0.32824,                 2.6998,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.00044,                0.06107,                0.31298,                 2.6999,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.00035,                0.06107,                0.29771,                  2.693,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.00083,                0.06107,                0.29008,                 2.6924,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.00022,                0.06107,                0.31298,                 2.6939,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.00057,                0.05344,                0.31298,                 2.6997,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.00036,                0.05344,                0.32061,                 2.6383,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.00037,                0.05344,                0.30534,                 2.6984,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.00041,                0.06107,                0.29771,                  2.695,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.00065,                0.05344,                0.30534,                 2.7006,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.00051,                0.05344,                0.32824,                 2.6961,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.00025,                0.06107,                0.29771,                 2.6986,             2.1277e-05,             2.1277e-05,             2.1277e-05
